#汉字	同音同调	同音异调
一	壹漪	以义移易
份	愤粪奋分忿	粉芬吩焚纷氛坟
仿	访纺	芳房妨放坊肪方防
企	泣器迄气弃砌汽契妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
伊	揖衣医依一壹漪	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
伍	武舞捂侮午鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
伏	芙辐蝠浮福幅服缚俘袱符扶拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
伐	阀乏法发罚筏
休	修羞	锈臭宿袖嗅秀朽绣
众	中种重仲	忠盅肿衷终钟
优	悠忧幽	佑尤由游友邮犹又油诱有幼右
伙	火	豁或和获货活祸霍惑
会	虫快筷诲块秽惠讳贿汇刽绘毁悔晦慧溃	恢茴堕回挥辉徽灰蛔
伞	散	三参
伟	委尾苇萎纬	为卫薇位喂伪尉维胃未味威违偎遗慰蔚微桅谓围唯危魏巍畏
传	撰船赚转	喘穿串砖专川
伤	商汤	上尚裳赏晌
伦	仑轮抡论沦
伪	为卫谓位尉喂胃未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
伯	泊渤搏勃罢卜薄脖膊舶爸霸白柏耙博驳坝荸	八巴芭疤叭靶捌把播拔玻剥簸笆拨跋般吧扒跛菠
估	沽辜家雇咕告顾姑孤故固	股凸古鼓滑贾骨谷
伴	半扮拌绊办瓣	班板扳搬颁版般斑
伶	凌灵菱玲蛉铃陵龄翎零	岭另领令
伸	信绅申深参身呻	沈甚审慎婶肾渗神
伺	食厕四刺饲肆似赐次寺	死瓷私司丝词此思差斯慈雌撕祠辞嘶磁
似	食四饲伺肆赐寺	死司丝思斯撕嘶私
佃	店垫殿甸玷淀奠电惦	颠典点碘
但	诞弹石氮担蛋旦淡	单胆耽丹
位	为卫谓尉喂伪胃未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
低	滴	抵嘀蒂嫡帝芽缔笛的弟递底第涤敌地
住	助注柱祝铸蛀驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
佑	又诱有幼右	忧幽尤悠犹游由邮友油优
体		剔屉提涕梯啼惕剃替蹄堤题踢
何	合核盖和荷河禾盒褐	鹤喝吓呵贺赫
作	做坐凿昨座	左
佣	庸拥	泳蛹踊用咏勇永
佣	用	泳蛹踊拥咏勇庸永
佩	配沛	陪培赔坏胚
佳	加家夹嘉茄	荚钾挟价架稼甲颊夏嫁贾假驾
使	拭势逝室屎是柿侍市士世驶饰矢适誓试氏视恃示式史识事始释嗜	狮提匙实失时施诗什石食十虱蚀拾硕射师湿尸
侈	齿耻尺	翅匙斥驰迟池赤持吃嗤弛
例	立吏砾雳丽痢隶沥粒励厉力荔历莉俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
侍	拭势逝室是使柿市士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
供	宫弓共攻蚣躬工公贡恭功红	巩矿拱汞
依	揖衣医伊一壹漪	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
侠	狭匣洽挟暇峡霞斜辖	虾厦瞎下吓夏
侣	履屡旅娄缕铝吕	氯滤律绿虑驴率
侥	矫狡摇绞淆遥肴姚搅较饺角谣剿窑脚缴	轿叫窖咬椒夭药舀胶钥拗娇嚼么蕉哟腰焦教校礁郊交觉耀乐吆要邀骄浇妖
侦	诊珍榛斟针贞真	阵振枕震疹镇
侧	策册测厕	窄择泽贼则怎责
侨	桥瞧憔乔翘	巧窍峭锹跷撬壳俏鹊敲悄雀
侮	武舞伍捂午鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
侯	喉猴	候吼厚后
侵	亲钦	勤擒秦琴禽寝芹
便	辫辨辩遍变	偏片蝙篇翩扁匾边鞭编贬骗
促	错趋卒趣醋簇	粗
俄	噩愕遏额哑恶饿讹鳄鹅蛾扼	阿
俊	骏峻竣菌	窘君尊钧遵均龟军
俏	窍峭跷撬壳翘	巧桥侨锹瞧憔乔鹊敲悄雀
俐	立吏砾雳丽痢隶沥粒励厉力荔历莉例利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
俗		缩速肃宿粟酥塑诉素苏溯
俘	芙辐蝠浮福幅服缚袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
保	宝堡饱	爆包刨暴薄雹苞豹褒抱报胞
信	衅呻绅申深参身芯伸	沈甚欣寻薪婶慎新辛审肾心渗锌神
俩	两	凉量谅粱晾良亮辆梁粮
俭	柬拣捡茧检简剪减碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
修	休羞	锈臭宿袖嗅秀朽绣
俯	腐斧父抚甫府辅脯	妇赴辐浮缚腹符麸伏拂付附赋福俘负袱夫芙敷傅蝠咐肤富复幅服孵扶副
俱	聚蛆沮居车具炬句锯据拘巨剧距拒驹惧足	鞠橘矩举局菊
俺		按案鞍庵暗氨岸安
倍	臂背贝被辈焙狈惫备	卑悲杯北碑
倒	道悼到稻盗岛导祷蹈捣	刀叨
倔	掘觉决角绝诀爵脚嚼
倘	淌躺	堂趟唐糖烫棠膛汤搪塘
候	厚后	侯猴吼喉
倚	尾椅乙蚁矣已以	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
借	届界介解诫戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
借	辑即籍吃棘脊唧急戒嫉芥击级寂集及届圾界介解诫吉极疾	纪妓杰竭稽给截荠叽皆劫记洁几姐迹接既鲫基饥箕阶继奇济挤积寄畸冀骑讥节际绩激居街祭机结季剂系计揭技忌肌其捷己姊鸡期
倡	唱畅猖昌	场长偿厂常尝肠裳敞
倦	眷圈卷绢	鹃捐身
债	寨祭责	窄斋宅摘齐
值	植殖执职直质掷	址治致制脂窒只氏征织帜稚蜘之志智挚枝肢止纸趾至支秩吱置汁芝知滞指识旨
倾	氢卿顷轻擎情清蜻晴青	亲庆请
假	钾价稼甲夏嫁贾架驾	佳荚加挟家颊夹嘉茄
偎	委威萎	为卫薇位喂伪尉维胃未味违遗纬慰蔚微桅伟尾谓苇围唯危魏巍畏
偏	篇翩扁	片遍骗便
做	凿坐作座	昨左
停	庭蜓廷亭	厅艇听挺
健	践建溅鉴渐荐监件涧键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
偶	藕呕	欧区殴鸥
偷		投头透
偿	场长常尝肠裳	唱昌厂畅倡敞猖
傀	归规瑰龟闺	葵跪鬼窥魁诡愧桂柜盔贵溃亏轨
傅	附妇赴赋富复咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
傍	蚌谤旁梆帮磅棒邦	膀绑榜
储	锄楚橱除处础厨雏	矗畜初触出
催	崔衰摧	悴翠脆粹
傲	澳懊奥拗	袄熬凹
傻		霎砂杀杉煞沙厦纱
像	橡相项向乡巷象	想祥箱镶厢详享响湘翔香降
僚	聊撩疗缭辽寥潦燎嘹	了料
僵	将浆姜江疆缰	桨酱蒋强匠讲奖降
僻	辟屁譬	否匹脾霹啤批坏被罢疲皮劈披
儒	如蠕	女入辱褥乳
儡	垒累蕾	勒泪擂雷类
儿	尔而二耳
儿	而	尔耳饵贰二
允	陨	晕酝孕云运蕴韵耘匀员
元	猿源辕原援缘园袁员圆	远宛渊愿怨冤鸳院
兄	凶匈胸汹	雄熊
充	冲	崇宠虫重
兆	赵罩召照	昭嘲找招爪朝着沼
先	鲜仙纤掀	嫌馅衔弦险腺线涎舷癣闲贤县咸现显陷限铣献宪
光		广逛
克	课可刻客	磕苛咳坷科蝌棵壳渴颗
免	冕紊问娩文闻勉缅	瘟棉吻眠蚊绵纹面温稳
兑	对队	堆
兔	吐	秃土凸徒涂图突屠途
党	档挡	铛裆荡当
兜	都	痘斗陡读逗蚪豆抖
兢	鲸经惊精睛荆茎京更晶	颈径境竞静阱景净井劲靖警敬竟镜
入	褥辱	女蠕如乳儒
全	泉卷拳权痊犬	劝圈券
八	巴扒捌笆芭疤吧叭	爸靶霸把伯耙罢拔跋坝
公	宫弓共攻蚣躬工供恭功红	拱汞巩贡矿
六	溜馏陆	刘铆流榴硫留瘤柳泵琉
兰	拦蓝澜篮栏	览懒榄缆烂揽滥
共	弓攻公工贡红供矿宫汞蚣躬巩恭功拱
关	官观棺冠	馆管惯贯罐灌
兴	腥星性姓猩杏幸	邢行型刑醒形
兵	冰	饼柄禀病并秉屏丙
其	激绩叽枝旗畦稽居鸡唧机脐歧几迹只鳍基饥箕棋奇肌积齐畸崎祈骑期讥	纪泣迄妓戚漆籍给荠即吃棘脊借记急妻嫉七既鲫级寂气集及继砌济契挤寄凄企冀吉际启辑栖祭欺季柒剂起击系计器乞弃技圾汽忌溪己岂极疾
具	聚巨剧距拒俱惧炬句锯据足	拘鞠蛆沮居车橘驹矩举局菊
典	碘点	店垫殿甸玷佃淀奠颠电惦
养	样痒氧仰漾	阳羊鸯杨扬秧殃央洋
兼	坚尖艰溅歼煎渐间监肩奸	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
兽	售瘦授受寿	收首守手熟
冀	际纪妓荠祭季记剂系既计鲫继技济忌寄骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
内		哪馁
冈	扛岗纲肛缸钢刚	港
册	策测侧厕
再	在载	仔灾宰栽
冒	贸茂帽貌	毛茅矛锚猫
冕	免勉缅娩	绵眠面棉
冗	茸	溶荣绒蓉榕熔容融
写	血	骇屉屑鞋挟蟹携谐楔歇斜邪懈械胁谢协卸契些泻解
军	均君钧龟	菌窘骏峻竣俊
农	浓脓	弄
冠	观惯官棺贯罐灌关	馆管
冤	宛渊鸳	远源猿辕原愿怨援缘园元袁院员圆
冬	东	冻栋董动懂洞
冯	苹萍平评缝逢屏坪瓶凭	丰疯奉峰风封枫乒凤锋讽蜂
冰	兵	饼柄禀病并秉屏丙
冲	充	崇宠虫重
决	掘倔觉角绝诀爵脚嚼
况	框旷眶矿	筐狂
冶	野也	页咽爷夜业椰叶射谒
冷		楞
冻	栋洞动	懂董东冬
净	径境竞静劲敬靖竟镜	颈兢惊鲸经精睛阱荆茎井警京更景晶
凄	戚漆栖溪欺柒妻七	泣迄畦稽脐只鳍气奇砌契企祈骑枝启旗歧起器乞棋弃汽齐其崎岂期
准		谆屯
凉	量谅粱晾良亮辆梁粮	两俩
凌	灵菱玲伶蛉铃陵龄翎零	岭另领令
减	柬拣捡茧检简俭剪碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
凑		臭操糙
凛		赁躏临淋鳞琳邻吝林磷
凝	拧狞柠宁	泞
几	激绩叽稽给居脊唧机迹基饥箕奇济挤积肌其畸己鸡期讥	纪妓即籍荠吃棘借急记嫉既鲫级集寂及继寄冀吉骑际辑祭季剂击系计技忌圾极疾
凡	樊烦帆繁矾	返范犯泛番饭翻反贩
凤	讽奉缝	丰疯峰风封枫锋逢冯蜂
凭	苹萍平评屏坪冯瓶	乒
凯	楷岂慨	咳揩开
凰	黄皇煌惶蝗	恍谎荒慌晃幌
凳	瞪蹬邓	等登灯
凶	兄匈胸汹	雄熊
凸	骨突股古徒滑鼓涂图贾屠谷途	估沽辜秃土吐家雇咕兔顾告姑孤故固
凹		澳袄懊傲拗熬奥
出	初	矗储锄畜触楚橱除处础厨雏
击	辑即籍吃棘脊唧借急嫉级集寂及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
函	韩寒涵汗含	罕旱悍喊和翰撼憾捍焊汉酣
凿	做坐作座	皂蚤糟灶造噪枣遭躁早藻燥澡昨左
刀	叨	道悼到稻盗倒岛导祷蹈捣
刁	雕叼碉	钓掉吊调
刃	赁认韧纫任	仁人儿忍
分	愤芬粪奋份忿吩纷氛	粉焚坟
切	窃怯契	且茄
刊	看堪勘	砍坎
刑	邢行形型	醒腥星性兴姓猩杏幸省
划	豁化画桦话滑猾华哗	花
划	豁桦滑猾华哗	化花话画
列	劣烈猎裂	咧
刘	流榴硫留瘤泵琉	铆陆溜柳六馏
则	窄择泽贼责	怎侧
刚	扛岗纲冈缸肛钢	港
创	疮窗囱闯	抢撞幢床
初	出	矗储锄畜触楚橱除处础厨雏
删	衫山杉珊扇	闪陕善单赡擅膳
判	叛畔盼	胖潘攀般盘
刨	爆袍咆暴炮豹抱报	褒跑堡泡饱包薄雹苞保宝抛胞
利	立吏砾雳丽痢隶沥粒励厉力荔历莉例俐栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
别		瘪鳖
刮	瓜蜗括	卦挂寡褂
到	道悼稻盗倒导蹈	叨刀岛祷捣
制	智挚致治至秩置窒知滞帜识稚质志	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
刷		耍
券	劝	圈泉卷拳权痊犬全
刹	岔差	察叉插喳查茶
刺	赐伺次厕	瓷此词差雌祠辞慈磁
刻	磕苛科客课蝌棵颗可克	咳坷壳渴
刽	筷会块快
剂	际纪妓荠祭季记系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
剃	惕屉涕替	剔梯提体啼蹄堤题踢
削	嚣哮宵雪硝箫销萧穴血消	靴晓孝效肖小笑酵校薛学啸
前	干潜黔钱钳	嵌浅千迁欠牵纤签谴铅谦遣歉
剑	践建溅鉴渐健荐监件涧键舰间贱见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
剔	梯踢	屉体提涕啼惕剃替蹄堤题
剖	颇	泊泼朴魄坡破波婆迫
剥	玻播拨般菠	泊舶渤搏勃驳白柏伯跛博卜簸薄脖膊荸
剧	聚巨距具拒俱惧炬句锯据足	拘鞠蛆沮居车橘驹矩举局菊
剩	胜盛乘圣	生牲绳升笙省甥声
剪	柬拣捡茧检简俭减碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
副	附妇赴傅赋富复咐父腹负付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
割	搁戈胳哥鸽疙歌	阁合格革隔葛蛤各个
剿	侥较搅狡矫抄绞饺角钞超脚缴	轿叫炒窖巢椒嘲胶娇嚼潮吵蕉朝焦教校郊交觉礁骄浇
劈	匹霹批坏被披	屁否脾罢啤疲譬皮僻辟
力	立吏砾雳丽痢隶沥粒励厉荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
劝	券	圈泉卷拳权痊犬全
办	半扮拌伴绊瓣	班板扳搬颁版般斑
功	宫弓共攻蚣躬工公供恭红	拱汞巩贡矿
加	佳家夹嘉茄	荚钾挟价架稼甲颊夏嫁贾假驾
务	勿晤雾物坞误悟恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
劣	列烈猎裂	咧
动	栋洞冻	懂董东冬
助	住注柱祝铸蛀驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
努		奴怒
劫	节杰竭截捷结洁	接揭皆阶届街界介姊借解诫戒姐芥
励	立吏砾雳丽痢隶沥粒厉力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
劲	径境竞进靖仅禁竟浸镜晋静尽净敬近	兢荆茎谨襟鲸津经金斤警晶惊锦井京巾今颈精睛阱紧更景筋
劳	烙牢酪唠络	捞姥老
势	拭逝室是使柿侍市士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
勃	泊舶渤搏白柏伯博卜脖薄驳膊荸	剥跛簸玻播拨般菠
勇	泳蛹踊拥咏永	庸用佣
勉	免冕娩缅	绵眠面棉
勋		逊巡寻讯旬训询驯迅汛循殉
勒	乐肋垃	垒儡泪擂蕾雷累了类
勘	刊堪看	砍坎
募	幕木慕暮沐目牧墓穆睦	亩姥姆母拇模牡
勤	擒秦琴禽芹	侵亲钦寝
勺	蟀硕帅烁数率芍	稍捎少说梢烧绍召哨
勾	沟钩句	苟垢购狗构够
勿	务晤雾物坞误悟恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
匀	云耘	晕酝陨允孕运蕴韵员
包	褒苞胞	爆堡饱刨暴薄雹保豹宝抱报
匆	聪从囱葱	丛
匈	凶胸汹兄	雄熊
匕	彼笔比鄙	逼庇壁毙碧璧臂毕闭鼻弊币必避蔽泌辟
化	划画桦话华	豁花滑猾哗
北		卑臂背贝被辈焙狈惫悲杯备碑倍
匙	驰池迟持弛	拭提翅势室施时屎赤使柿吃侍尺拾嗤饰驶誓狮氏实诗恃什示石食十式史事射耻释嗜适尸失逝硕是虱士蚀市世齿试侈矢视斥识始师湿
匠	将强降酱	桨姜浆江蒋僵疆讲缰奖
匣	狭洽挟暇峡侠霞斜辖	虾厦瞎下吓夏
匪	菲诽	啡非废费沸肺肥吠飞
匹	否霹批被坏劈披	屁脾罢啤疲譬皮僻辟
区	曲圈屈蛆鸥趋躯呕欧岖驱殴	漆去藕取偶娶趣渠
医	揖衣伊一依壹漪	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
匾	贬扁	辫蝙便辨辩遍变边鞭编
匿	泥腻溺逆	你拟尼呢
十	硕实提食什时石蚀拾射	拭匙势室施屎使柿侍驶饰誓狮氏诗恃示式史事释适嗜尸失逝是虱士市世矢试视识始师湿
千	嵌迁牵纤签谦铅	干浅潜欠黔谴前钱钳遣歉
千	嵌迁牵纤签铅谦	干浅潜欠黔谴前钱钳遣歉
升	生牲胜笙甥声	乘绳剩圣盛省
午	武舞伍捂侮鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
半	拌扮伴绊办瓣	班板扳搬颁版般斑
华	豁化花划画桦话滑猾哗
协	鞋挟携谐斜邪胁	骇屉谢屑写蟹卸契些泻楔歇解懈械血
卑	悲杯背碑	臂贝被辈焙狈惫北备倍
卒	错促趋趣醋族簇足	粗阻诅租祖组
卓	浊茁灼拙着啄琢酌	桌捉
单	馋善蝉扇耽担赡擅丹缠膳	删产弹衫山胆石旦掺淡闪诞陕杉氮搀蛋阐铲珊但
卖	迈脉麦	埋买
南	难男
博	泊舶渤搏勃白柏伯卜脖薄驳膊荸	剥跛簸玻播拨般菠
卜	捕补哺	埠步不怖部布簿
卜	泊舶渤搏勃白柏伯博脖薄驳膊荸	剥跛簸玻播拨般菠
占	栈暂战绽沾站瞻蘸毡颤	崭斩盏展
卡	咳	咖恰哈洽
卢	芦炉庐颅	露录鹿氯卤陆路鲁虏赂碌
